ridership_route_code,current_garage,year_month,day_type,on_time_percent,avg_riders,day_count,daily_trip_dist,daily_trip_count,year,month,current_garage_code,day_type_code
069,East Liberty,201701,WEEKDAY,0.6316,1589,22,832.979,46,2017,01,1,2
069,East Liberty,201701,SAT.,0.6595,284,4,279.433,22,2017,01,1,0
069,East Liberty,201701,SUN.,0.6468,209,5,254.03,20,2017,01,1,1
071,East Liberty,201701,WEEKDAY,0.7901,110,22,91.511,14,2017,01,1,2
071A,East Liberty,201701,WEEKDAY,0.5719,5747,22,972.433,146,2017,01,1,2
071A,East Liberty,201701,SAT.,0.7589,2570,4,559.482,84,2017,01,1,0
071A,East Liberty,201701,SUN.,0.6325,1622,5,346.346,52,2017,01,1,1
071B,East Liberty,201701,WEEKDAY,0.6098,4570,22,921.844,134,2017,01,1,2
071B,East Liberty,201701,SAT.,0.7616,1770,4,513.114,76,2017,01,1,0
071B,East Liberty,201701,SUN.,0.7485,1093,5,337.575,50,2017,01,1,1
071C,East Liberty,201701,WEEKDAY,0.5496,5610,22,1131.904,128,2017,01,1,2
071C,East Liberty,201701,SAT.,0.6233,3148,4,636.696,72,2017,01,1,0
071C,East Liberty,201701,SUN.,0.6733,1797,5,424.464,48,2017,01,1,1
071D,East Liberty,201701,WEEKDAY,0.6304,4271,22,1104.093,134,2017,01,1,2
071D,East Liberty,201701,SAT.,0.7277,1883,4,642.681,78,2017,01,1,0
071D,East Liberty,201701,SUN.,0.6819,1203,5,444.933,54,2017,01,1,1
074,East Liberty,201701,WEEKDAY,0.6306,875,22,544.109,55,2017,01,1,2
074,East Liberty,201701,SAT.,0.7166,392,4,401.962,44,2017,01,1,0
075,East Liberty,201701,WEEKDAY,0.71,3021,22,904.922,84,2017,01,1,2
075,East Liberty,201701,SAT.,0.7312,1784,4,591.307,54,2017,01,1,0
075,East Liberty,201701,SUN.,0.6492,1111,5,528.549,48,2017,01,1,1
077,East Liberty,201701,WEEKDAY,0.6218,2066,22,1254.54,67,2017,01,1,2
077,East Liberty,201701,SAT.,0.5561,880,4,493.014,47,2017,01,1,0
077,East Liberty,201701,SUN.,0.6342,572,5,405.684,38,2017,01,1,1
078,East Liberty,201701,WEEKDAY,0.8133,113,22,129.546,12,2017,01,1,2
079,East Liberty,201701,WEEKDAY,0.6747,928,22,511.532,78,2017,01,1,2
079,East Liberty,201701,SAT.,0.6952,580,4,428.61,63,2017,01,1,0
079,East Liberty,201701,SUN.,0.7114,361,5,311.598,35,2017,01,1,1
081,West Mifflin,201701,WEEKDAY,0.695,1539,22,399.072,64,2017,01,4,2
081,West Mifflin,201701,SAT.,0.6707,704,4,299.304,48,2017,01,4,0
081,West Mifflin,201701,SUN.,0.6868,453,5,212.007,34,2017,01,4,1
082,East Liberty,201701,WEEKDAY,0.6547,3628,22,379.786,52,2017,01,1,2
082,East Liberty,201701,SAT.,0.6913,2339,4,292.06,40,2017,01,1,0
082,East Liberty,201701,SUN.,0.6353,1589,5,554.788,76,2017,01,1,1
083,West Mifflin,201701,WEEKDAY,0.6789,2169,22,442.959,62,2017,01,4,2
083,West Mifflin,201701,SAT.,0.8209,1232,4,414.381,58,2017,01,4,0
083,West Mifflin,201701,SUN.,0.6864,639,5,257.202,36,2017,01,4,1
086,East Liberty,201701,WEEKDAY,0.6382,2714,22,760.455,86,2017,01,1,2
086,East Liberty,201701,SAT.,0.6139,2060,4,795.825,90,2017,01,1,0
086,East Liberty,201701,SUN.,0.6611,1415,5,565.92,64,2017,01,1,1
087,East Liberty,201701,WEEKDAY,0.6909,2677,22,780.723,102,2017,01,1,2
087,East Liberty,201701,SAT.,0.7358,573,4,346.258,44,2017,01,1,0
087,East Liberty,201701,SUN.,0.75,182,5,125.912,16,2017,01,1,1
088,East Liberty,201701,WEEKDAY,0.6749,2992,22,651.039,112,2017,01,1,2
088,East Liberty,201701,SAT.,0.6488,1289,4,488.967,84,2017,01,1,0
088,East Liberty,201701,SUN.,0.7621,1109,5,429.733,74,2017,01,1,1
089,East Liberty,201701,WEEKDAY,0.642,399,22,157.182,46,2017,01,1,2
089,East Liberty,201701,SAT.,0.6852,232,4,150.348,44,2017,01,1,0
089,East Liberty,201701,SUN.,0.6351,153,5,116.178,34,2017,01,1,1
091,Ross,201701,WEEKDAY,0.701,3933,22,1465.538,135,2017,01,3,2
091,Ross,201701,SAT.,0.7118,1536,4,845.166,84,2017,01,3,0
091,Ross,201701,SUN.,0.632,895,5,576.274,54,2017,01,3,1
093,West Mifflin,201701,WEEKDAY,0.7045,1644,22,624.283,58,2017,01,4,2
G2,Collier,201701,WEEKDAY,0.7742,3628,22,1416.779,182,2017,01,0,2
G2,Collier,201701,SAT.,0.8087,932,4,498.208,64,2017,01,0,0
G2,Collier,201701,SUN.,0.7965,561,5,498.208,64,2017,01,0,1
G3,Collier,201701,WEEKDAY,0.7174,925,22,815.433,45,2017,01,0,2
G31,Collier,201701,WEEKDAY,0.7257,597,22,297.48,24,2017,01,0,2
O1,Ross,201701,WEEKDAY,0.7959,1233,22,283.099,42,2017,01,3,2
O12,Ross,201701,WEEKDAY,0.7023,1377,22,649.981,53,2017,01,3,2
O5,Ross,201701,WEEKDAY,0.63,101,22,100.713,6,2017,01,3,2
P1,East Liberty,201701,WEEKDAY,0.7889,9750,22,2364.47,254,2017,01,1,2
P1,East Liberty,201701,SAT.,0.8151,4407,4,1095.736,116,2017,01,1,0
P1,East Liberty,201701,SUN.,0.8549,2826,5,850.14,90,2017,01,1,1
P10,East Liberty,201701,WEEKDAY,0.6019,687,22,556.695,18,2017,01,1,2
P12,East Liberty,201701,WEEKDAY,0.6134,1185,22,831.415,38,2017,01,1,2
P13,Ross,201701,WEEKDAY,0.5522,269,22,204.407,14,2017,01,3,2
P16,East Liberty,201701,WEEKDAY,0.665,969,22,552.531,28,2017,01,1,2
P17,East Liberty,201701,WEEKDAY,0.7022,364,22,156.52,14,2017,01,1,2
P2,East Liberty,201701,WEEKDAY,0.8659,1402,22,308.014,42,2017,01,1,2
P3,West Mifflin,201701,WEEKDAY,0.8364,2746,22,925.423,111,2017,01,4,2
P67,East Liberty,201701,WEEKDAY,0.6427,444,22,276.872,19,2017,01,1,2
P68,East Liberty,201701,WEEKDAY,0.5861,825,22,442.29,29,2017,01,1,2
P69,East Liberty,201701,WEEKDAY,0.6015,245,22,151.976,12,2017,01,1,2
